stool, solid excretory product evacuated from the bowels
superpose, place on top of; "can you superimpose the two images?"
civil list, a sum of money voted by British Parliament each year for the expenses of the British royal family
hope, a specific instance of feeling hopeful; "it revived their hope of winning the pennant"
cosmetic, a toiletry designed to beautify the body
wash, cleanse with a cleaning agent, such as soap, and water; "Wash the towels, please!"
main office, (usually plural) the office that serves as the administrative center of an enterprise; "many companies have their headquarters in New York"
bond, (criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial; "the judge set bail at $10,000"; "a $10,000 bond was furnished by an alderman"
chairman, act or preside as chair, as of an academic department in a university; "She chaired the department for many years"
kangaroo paw, sedgelike spring-flowering herb having clustered flowers covered with woolly hairs; Australia
shoulder joint, a ball-and-socket joint between the head of the humerus and a cavity of the scapula
genus chionanthus, deciduous trees or shrubs: fringe tree
declare, designate (a trump suit or no-trump) with the final bid of a hand
imperial decree, a decree issued by a sovereign ruler
biscuit, small round bread leavened with baking-powder or soda
history, the discipline that records and interprets past events involving human beings; "he teaches Medieval history"; "history takes the long view"
turtle, any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
santa clara, a city of west central California; residential area with light industry
unstable, lacking stability or fixity or firmness; "unstable political conditions"; "the tower proved to be unstable in the high wind"; "an unstable world economy"
stigmatize, to accuse or condemn or openly or formally or brand as disgraceful; "He denounced the government action"; "She was stigmatized by society because she had a child out of wedlock"
rotting, (biology) the process of decay caused by bacterial or fungal action
stable, resistant to change of position or condition; "a stable ladder"; "a stable peace"; "a stable relationship"; "stable prices"
onychogalea, a genus of Macropodidae
genus anagasta, moth whose larvae are flour moths
reflect, give evidence of a certain behavior; "His lack of interest in the project reflects badly on him"
tone, vary the pitch of one's speech
theatre of operations, a region in which active military operations are in progress; "the army was in the field awaiting action"; "he served in the Vietnam theater for three years"
potato bug, black-and-yellow beetle that feeds in adult and larval stages on potato leaves; originally of eastern Rocky Mountains; now worldwide
afterburner, a device injects fuel into a hot exhaust for extra thrust
stew, be in a huff; be silent or sullen
scrimshank, British military language: avoid work
initiate, bring up a topic for discussion
dilapidate, bring into a condition of decay or partial ruin by neglect or misuse
teem, be teeming, be abuzz; "The garden was swarming with bees"; "The plaza is teeming with undercover policemen"; "her mind pullulated with worries"
tamias striatus, small striped semiterrestrial eastern American squirrel with cheek pouches
resht, city in northwestern Iran near the Caspian Sea
squatina, type genus of the Squatinidae: angel sharks
sphenoidal fontanelle, the irregularly shaped area on either side of the cranium where the frontal bone and the anterior tip of the parietal bone and the temporal bone and the greater wing of the sphenoid bone meet; corresponds to the pterion when bones have ossified
speckle, mark with small spots; "speckle the wall with tiny yellow spots"
feedback loop, a circuit that feeds back some of the output to the input of a system
space, a blank area; "write your name in the space provided"
statistic, a datum that can be represented numerically
hoecake, thin usually unleavened johnnycake made of cornmeal; originally baked on the blade of a hoe over an open fire (southern)
robert charles benchley, United States humorist (1889-1945)
fete, an organized series of acts and performances (usually in one place); "a drama festival"
draughts, a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces
tortricidae, leaf rollers and codling moths
yield, the income or profit arising from such transactions as the sale of land or other property; "the average return was about 5%"
absorbency, the property of being absorbent
spiritless, lacking ardor or vigor or energy; "a spiritless reply to criticism"
order insectivora, shrews; moles; hedgehogs; tenrecs
hemostasis, surgical procedure of stopping the flow of blood (as with a hemostat)
coraciiform bird, chiefly short-legged arboreal nonpasserine birds that nest in holes
sodium hydrogen carbonate, a white soluble compound (NaHCO3) used in effervescent drinks and in baking powders and as an antacid
service, periodic maintenance on a car or machine; "it was time for an overhaul on the tractor"
indonesian, a native or inhabitant of Indonesia
plan, make plans for something; "He is planning a trip with his family"
typhaceae, perennial marsh plants with creeping rootstocks and long linear leaves
family cracidae, curassows; guans; chachalacas
testcross, a cross between an organism whose genotype for a certain trait is unknown and an organism that is homozygous recessive for that trait so the unknown genotype can be determined from that of the offspring
turkomen, a republic in Asia to the east of the Caspian Sea and to the south of Kazakhstan and to the north of Iran; an Asian soviet from 1925 to 1991
niche, (ecology) the status of an organism within its environment and community (affecting its survival as a species)
religious, having or showing belief in and reverence for a deity; "a religious man"; "religious attitude"
sparkling, used of wines and waters; charged naturally or artificially with carbon dioxide; "sparkling wines"; "sparkling water"
mask, a covering to disguise or conceal the face
genus anogramma, a genus of ferns belonging to the family Pteridaceae
tease, ruffle (one's hair) by combing the ends towards the scalp, for a full effect
curvet, perform a leap where both hind legs come off the ground, of a horse
turn over, do business worth a certain amount of money; "The company turns over ten million dollars a year"
hipposideridae, Old World leafnose bats
sunhat, a hat with a broad brim that protects the face from direct exposure to the sun
vox, the sound made by the vibration of vocal folds modified by the resonance of the vocal tract; "a singer takes good care of his voice"; "the giraffe cannot make any vocalizations"
vas deferens, a duct that carries spermatozoa from the epididymis to the ejaculatory duct
sound, financially secure and safe; "sound investments"; "a sound economy"
cocainize, anesthetize with cocaine
reorganization, an extensive alteration of the structure of a corporation or government; "after the takeover there was a thorough reorganization"; "the reorganization was prescribed by federal bankruptcy laws"
ring mail, (Middle Ages) flexible armor made of interlinked metal rings
polygonum, diverse genus of herbs or woody subshrubs of north temperate regions
give out, give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.; "The ozone layer blocks some harmful rays which the sun emits"
unsociableness, an unsociable disposition; avoiding friendship or companionship
philistine, a member of an Aegean people who settled ancient Philistia around the 12th century BC
tobacco plant, aromatic annual or perennial herbs and shrubs
manuscript, handwritten book or document
force, do forcibly; exert force; "Don't force it!"
sophisticated, having or appealing to those having worldly knowledge and refinement and savoir-faire; "sophisticated young socialites"; "a sophisticated audience"; "a sophisticated lifestyle"; "a sophisticated book"
squash vine, any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
chequer, one of the flat round pieces used in playing the game of checkers
genus chimaphila, small genus of evergreen herbs with long creeping rootstocks and shining leaves; North America; Europe; east Asia
cookware, a kitchen utensil made of material that does not melt easily; used for cooking
genus galega, small genus of Eurasian herbs: goat's rue
smelt, extract (metals) by heating
the nazarene, a teacher and prophet born in Bethlehem and active in Nazareth; his life and sermons form the basis for Christianity (circa 4 BC - AD 29)
hoodoo, a practitioner of voodoo
see, date regularly; have a steady relationship with; "Did you know that she is seeing an older man?"; "He is dating his former wife again!"
evert, turn inside out; turn the inner surface of outward; "evert the eyelid"
alpena, a town in northern Michigan on an arm of Lake Huron
tangiers, a city of northern Morocco at the west end of the Strait of Gibraltar; "the first tangerines were shipped from Tangier to Europe in 1841"
conjecture, reasoning that involves the formation of conclusions from incomplete evidence
wallpaper, cover with wallpaper
admirer, a person who admires; someone who esteems or respects or approves
stp, standard temperature and pressure
write, write music; "Beethoven composed nine symphonies"
men's room, a public toilet for men
genus anabrus, a genus of Tettigoniidae
hollow, not solid; having a space or gap or cavity; "a hollow wall"; "a hollow tree"; "hollow cheeks"; "his face became gaunter and more hollow with each year"
swag, goods or money obtained illegally
psychoanalyze, subject to psychoanalytic treatment; "I was analyzed in Vienna by a famous psychiatrist"
neuromatous, a (usually rectangular) container; may have a lid; "he rummaged through a box of spare parts"   of or relating to or caused by neuromas
strengthen, make strong or stronger; "This exercise will strengthen your upper body"; "strengthen the relations between the two countries"
survey, consider in a comprehensive way; "He appraised the situation carefully before acting"
gaseous, existing as or having characteristics of a gas; "steam is water is the gaseous state"
lubumbashi, a city in southeastern Congo near the border with Zambia; a copper mining center; former name (until 1966) was Elisabethville
pastorship, the position of pastor
leave off, stop using; "leave off your jacket--no need to wear it here"
midriff, (anatomy) a muscular partition separating the abdominal and thoracic cavities; functions in respiration
leo xiii, Italian pope from 1878 to 1903 who was interested in the advancement of learning and who opened the Vatican secret archives to all scholars
genus brassica, mustards: cabbages; cauliflowers; turnips; etc.
adhesive, tending to adhere
housekeep, maintain a household; take care of all business related to a household
maquisard, a guerrilla fighter in the French underground in World War II
extracurricular activity, educational activities not falling within the scope of the regular curriculum
home, provide with, or send to, a home
urinary bladder, a membranous sac for temporary retention of urine
lionize, assign great social importance to; "The film director was celebrated all over Hollywood"; "The tenor was lionized in Vienna"
thoriate, impregnate with thorium oxide to increase thermionic emission
shell, a metal sheathing of uniform thickness (such as the shield attached to an artillery piece to protect the gunners)
genus durio, a genus of tall Asian trees of the family Bombacaceae
manhood, the status of being a man
unsociable, not inclined to society or companionship; "an unsociable nature...shy and reserved"; "generally unsociable except with intimate friends"; "unsociable behavior"; "an unsociable neighborhood"
seal of approval, an indication of approved or superior status
crown, the part of a hat (the vertex) that covers the crown of the head
fleet, group of aircraft operating together under the same ownership
exactness, the quality of being exact; "he demanded exactness in all details"; "a man of great exactitude"
atrium, any chamber that is connected to other chambers or passageways (especially one of the two upper chambers of the heart)
charge, attribute responsibility to; "We blamed the accident on her"; "The tragedy was charged to her inexperience"
throttle valve, a valve that regulates the supply of fuel to the engine
sociable, inclined to or conducive to companionship with others; "a sociable occasion"; "enjoyed a sociable chat"; "a sociable conversation"; "Americans are sociable and gregarious"
republic of peru, a republic in western South America; achieved independence from Spain in 1821; was the heart of the Inca empire from the 12th to 16th centuries
leo iii, Italian pope from 795 to 816 who in 800 crowned Charlemagne emperor of the Romans (750-816)
little owl, small European owl
revolutionary justice organization, a Shiite terrorist organization with strong ties to Iran; seeks to create an Iranian fundamentalist Islamic state in Lebanon; car bombs are the signature weapon
red sandalwood, East Indian tree with racemes of yellow-white flowers; cultivated as an ornamental
muster, a gathering of military personnel for duty; "he was thrown in the brig for missing muster"
family dilleniaceae, chiefly tropical shrubs and trees and climbers having leathery leaves or flattened leaflike stems: genera Dillenia and Hibbertia
barn, an outlying farm building for storing grain or animal feed and housing farm animals
gregarious, (of animals) tending to form a group with others of the same species; "gregarious bird species"
breeding ground, a place where animals breed
emplace, provide a new emplacement for guns
preceptorship, the position of preceptor
table, food or meals in general; "she sets a fine table"; "room and board"
mistflower, rhizomatous plant of central and southeastern United States and West Indies having large showy heads of clear blue flowers; sometimes placed in genus Eupatorium
parry, impede the movement of (an opponent or a ball); "block an attack"
agent, a substance that exerts some force or effect
mongolia, a vast region in Asia including the Mongolian People's Republic and China's Inner Mongolia
flying fish, tropical marine fishes having enlarged winglike fins used for brief gliding flight
tetrachloride, any compound that contains four chlorine atoms per molecule
priest, a person who performs religious duties and ceremonies in a non-Christian religion
wooing, a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage); "its was a brief and intense courtship"
financial gain, the amount of monetary gain
russia, a former empire in eastern Europe and northern Asia created in the 14th century with Moscow as the capital; powerful in the 17th and 18th centuries under Peter the Great and Catherine the Great when Saint Petersburg was the capital; overthrown by revolution in 1917
heterokontae, all the yellow-green algae having flagella of unequal length
stroke, a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
sway, move back and forth or sideways; "the ship was rocking"; "the tall building swayed"; "She rocked back and forth on her feet"
recognize, accept (someone) to be what is claimed or accept his power and authority; "The Crown Prince was acknowledged as the true heir to the throne"; "We do not recognize your gods"
disband, cause to break up or cease to function; "the principal disbanded the political student organization"
rough, of the margin of a leaf shape; having the edge cut or fringed or scalloped
mythical place, a place that exists only in imagination; a place said to exist in fictional or religious writings
semiautomatic firearm, an autoloader that fires only one shot at each pull of the trigger
ejaculator, a speaker who utters a sudden exclamation
motive, a theme that is repeated or elaborated in a piece of music
tone, the general atmosphere of a place or situation and the effect that it has on people; "the feel of the city excited him"; "a clergyman improved the tone of the meeting"; "it had the smell of treason"
smooth, of the margin of a leaf shape; not broken up into teeth
spring, a metal elastic device that returns to its shape or position when pushed or pulled or pressed; "the spring was broken"
zambezi river, an African river; flows into the Indian Ocean
slip noose, a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled
hylobates, gibbons
preponderance, exceeding in heaviness; having greater weight; "the least preponderance in either pan will unbalance the scale"
state of matter, (chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container); "the solid state of water is called ice"
stripe, a piece of braid, usually on the sleeve, indicating military rank or length of service
wield, handle effectively; "The burglar wielded an axe"; "The young violinist didn't manage her bow very well"
ovum, the female reproductive cell; the female gamete
election, the act of selecting someone or something; the exercise of deliberate choice; "her election of medicine as a profession"
dasyurid marsupial, small carnivorous nocturnal marsupials of Australia and Tasmania
unsmooth, having or caused by an irregular surface; "trees with rough bark"; "rough ground"; "rough skin"; "rough blankets"; "his unsmooth face"
request, express the need or desire for; ask for; "She requested an extra bed in her room"; "She called for room service"
venus, type genus of the family Veneridae: genus of edible clams with thick oval shells
accept, consider or hold as true; "I cannot accept the dogma of this church"; "accept an argument"
confection, the act of creating something (a medicine or drink or soup etc.) by compounding or mixing a variety of components
president carter, 39th President of the United States (1924-)
smooth, having a surface free from roughness or bumps or ridges or irregularities; "smooth skin"; "a smooth tabletop"; "smooth fabric"; "a smooth road"; "water as smooth as a mirror"
slave state, any of the southern states in which slavery was legal prior to the American Civil War
monmouth court house, a pitched battle in New Jersey during the American Revolution (1778) that ended with the withdrawal of British forces
prickly ash, any of a number of trees or shrubs of the genus Zanthoxylum having spiny branches
klein, United States fashion designer noted for understated fashions (born in 1942)
slippy, causing or tending to cause things to slip or slide; "slippery sidewalks"; "a slippery bar of soap"; "the streets are still slippy from the rain"
snailfish, small tadpole-shaped cold-water fishes with pelvic fins forming a sucker; related to lumpfish
stuff, the tangible substance that goes into the makeup of a physical object; "coal is a hard black material"; "wheat is the stuff they use to make bread"
white fir, medium to tall fir of western North America having a conic crown and branches in tiers; leaves smell of orange when crushed
reorganize, organize anew, as after a setback
mixer, a kitchen utensil that is used for mixing foods
kingdom, the highest taxonomic group into which organisms are grouped; one of five biological categories: Monera or Protoctista or Plantae or Fungi or Animalia
softness, a sound property that is free from loudness or stridency; "and in softness almost beyond hearing"
mirid bug, a variety of leaf bug
alphabet, a character set that includes letters and is used to write a language
pronounce, pronounce judgment on; "They labeled him unfit to work here"
harsh, of textures that are rough to the touch or substances consisting of relatively large particles; "coarse meal"; "coarse sand"; "a coarse weave"
ranier, a mountain peak in central Washington; highest peak in the Cascade Range; (14,410 feet high)
agon, a festivity in ancient Greece at which competitors contended for prizes
lock, become engaged or intermeshed with one another; "They were locked in embrace"
provocation, unfriendly behavior that causes anger or resentment
pineapple plant, a tropical American plant bearing a large fleshy edible fruit with a terminal tuft of stiff leaves; widely cultivated in the tropics
picris, genus of weedy Old World yellow-flowered herbs usually containing a bitter-tasting substance: bitterweed
threat, a person who inspires fear or dread; "he was the terror of the neighborhood"
gerris lacustris, a variety of water strider
skilled, having or showing or requiring special skill; "only the most skilled gymnasts make an Olympic team"; "a skilled surgeon has many years of training and experience"; "a skilled reconstruction of her damaged elbow"; "a skilled trade"
ordeal tree, evergreen shrub or tree of South Africa
nanna, the mother of your father or mother
minefield, a region in which explosives mines have been placed
power hammer, a power tool for drilling rocks
cleanse, clean one's body or parts thereof, as by washing; "clean up before you see your grandparents"; "clean your fingernails before dinner"
striving, an effortful attempt to attain a goal
protract, lengthen in time; cause to be or last longer; "We prolonged our stay"; "She extended her visit by another day"; "The meeting was drawn out until midnight"
cut, make an abrupt change of image or sound; "cut from one scene to another"
ion, a particle that is electrically charged (positive or negative); an atom or molecule or group that has lost or gained one or more electrons
tagging program, a computer program that attaches labels to the grammatical constituents of textual matter
vegetable silk, a plant fiber from the kapok tree; used for stuffing and insulation
open up, become open; "The door opened"
stop, a mechanical device in a camera that controls size of aperture of the lens; "the new cameras adjust the diaphragm automatically"
prison cell, a room where a prisoner is kept
mukalla, a port in southern Yemen on the Gulf of Aden to the east of Aden
flight, the act of escaping physically; "he made his escape from the mental hospital"; "the canary escaped from its cage"; "his flight was an indication of his guilt"
gibit, a unit of information equal to 1024 mebibits or 2^30 (1,073,741,824) bits
sovereignty, the authority of a state to govern another state
fthm, (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore
podargidae, frogmouths
negation, the speech act of negating
republic of ecuador, a republic in northwestern South America; became independent from Spain in 1822; the landscape is dominated by the Andes
damper, a movable iron plate that regulates the draft in a stove or chimney or furnace
snap, record on photographic film; "I photographed the scene of the accident"; "She snapped a picture of the President"
oregon holly grape, ornamental evergreen shrub of Pacific coast of North America having dark green pinnate leaves and racemes of yellow flowers followed by blue-black berries
sunbelt, states in the south and southwest that have a warm climate and tend to be politically conservative
tug, tow (a vessel) with a tug; "The tugboat tugged the freighter into the harbor"   (of sound) relatively low in volume; "soft voices"; "soft music"
live birth, the birth of a living fetus (regardless of the length of gestation)
snow, a layer of snowflakes (white crystals of frozen water) covering the ground
secret plan, a secret scheme to do something (especially something underhand or illegal); "they concocted a plot to discredit the governor"; "I saw through his little game from the start"
resistive, exhibiting or relating to electrical resistance; "resistive load"
sliver, a thin fragment or slice (especially of wood) that has been shaved from something
gary, a city in northwest Indiana on Lake Michigan; steel production
rise, (theology) the origination of the Holy Spirit at Pentecost; "the emanation of the Holy Spirit"; "the rising of the Holy Ghost"; "the doctrine of the procession of the Holy Spirit from the Father and the Son"
tomography, (medicine) obtaining pictures of the interior of the body
x-ray machine, an apparatus that provides a source of X rays
squandering, spending resources lavishly and wastefully; "more wasteful than the squandering of time"
sound, the subjective sensation of hearing something; "he strained to hear the faint sounds"
bomber, a military aircraft that drops bombs during flight
cook, someone who cooks food
weapons carrier, military vehicle that is a light truck designed to carry mortars or machine guns and their crews
australian alps, a range of mountains in Australia that forms the southern end of the Great Dividing Range
needlework, a creation created or assembled by needle and thread
salix triandra, Old World willow with light green leaves cultivated for use in basketry
reduce, to remove oxygen from a compound, or cause to react with hydrogen or form a hydride, or to undergo an increase in the number of electrons
muskiness, having the olfactory properties of musk
transmission, an incident in which an infectious disease is transmitted
research, systematic investigation to establish facts
thelypteris palustris pubescens, fern of northeastern North America
subfamily gerbillinae, gerbils
ratite bird, flightless birds having flat breastbones lacking a keel for attachment of flight muscles: ostriches; cassowaries; emus; moas; rheas; kiwis; elephant birds
plotter, a member of a conspiracy
optimize, make optimal; get the most out of; use best; "optimize your resources"
bidding, (bridge) the number of tricks a bridge player is willing to contract to make
take in, earn on some commercial or business transaction; earn as salary or wages; "How much do you make a month in your new job?"; "She earns a lot in her new job"; "this merger brought in lots of money"; "He clears $5,000 each month"
genus etropus, a genus of Bothidae
musical harmony, the structure of music with respect to the composition and progression of chords
tip, cause to tilt; "tip the screen upward"
track, any road or path affording passage especially a rough one
submitter, someone who yields to the will of another person or force
tyto, type and only genus of the family Tytonidae
fillet, decorate with a lace of geometric designs
chock, support on chocks; "chock the boat"
lighten up, become more cheerful; "after a glass of wine, he lightened up a bit"
arctiid moth, stout-bodied broad-winged moth with conspicuously striped or spotted wings; larvae are hairy caterpillars
wordiness, boring verbosity
sweet fanny adams, little or nothing at all; "I asked for a raise and they gave me bugger-all"; "I know sweet Fanny Adams about surgery"
gleaner, someone who picks up grain left in the field by the harvesters
plumiera, deciduous shrubs and trees of tropical America having branches like candelabra and fragrant white or pink flowers
osteichthyes, a class of fish having a skeleton composed of bone in addition to cartilage
waw, the 6th letter of the Hebrew alphabet
idolatry, the worship of idols; the worship of images that are not God
warp, a twist or aberration; especially a perverse or abnormal way of judging or acting
waste, get rid of; "We waste the dirty water by channeling it into the sewer"
ethmoid bone, one of the eight bones of the cranium; a small bone filled with air spaces that forms part of the eye sockets and the nasal cavity
immune, a person who is immune to a particular infection
antbird, any of various dull-colored South American birds that feeding on ants some following army ant swarms
trigger, an act that sets in motion some course of events
explore, examine minutely
gerres, type genus of the Gerreidae
claim, an assertion that something is true or factual; "his claim that he was innocent"; "evidence contradicted the government's claims"
mush, travel with a dogsled
cover, the protective covering on the front, back, and spine of a book; "the book had a leather binding"
genus aptenodytes, large penguins
witloof, young broad-leaved endive plant deprived of light to form a narrow whitish head
genus cambarus, a genus of Astacidae
spell, indicate or signify; "I'm afraid this spells trouble!"
pulse generator, a generator of single or multiple voltage pulses; usually adjustable for pulse rate
siamese cat, a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip
schnauzer, old German breed of sturdy black or greyish wire-haired terriers having a blunt muzzle ranging in size from fairly small to very large; used as ratters and guard dogs or police dogs
syntax, the grammatical arrangement of words in sentences
stable, shelter in a stable; "stable horses"
orthoptera, grasshoppers and locusts; crickets
whalesucker, large blue Pacific remora that attaches to whales and dolphins
whip, strike as if by whipping; "The curtain whipped her face"
picea, a genus of temperate and Arctic evergreen trees (see spruce)
central american, a native or inhabitant of Central America
good luck charm, something believed to bring good luck
steel onself for, prepare mentally or emotionally for something unpleasant
gymnastics, a sport that involves exercises intended to display strength and balance and agility
angulate, having angles or an angular shape
water bearer, (astrology) a person who is born while the sun is in Aquarius
vitriol, subject to bitter verbal abuse
illegal, prohibited by law or by official or accepted rules; "an illegal chess move"
tuner, someone who tunes pianos
cleave, make by cutting into; "The water is going to cleave a channel into the rock"
game, animal hunted for food or sport
recline, move the upper body backwards and down
reverend dodgson, English author; Charles Dodgson was an Oxford don of mathematics who is remembered for the children's stories he wrote under the pen name Lewis Carroll (1832-1898)
develop, change the use of and make available or usable; "develop land"; "The country developed its natural resources"; "The remote areas of the country were gradually built up"
major scale, a diatonic scale with notes separated by whole tones except for the 3rd and 4th and 7th and 8th
electronic countermeasures, electronic warfare undertaken to prevent or reduce an enemy's effective use of the electromagnetic spectrum
schoolhouse, a building where young people receive education; "the school was built in 1932"; "he walked to school every morning"
stolen property, property that has been stolen
decomposition, the organic phenomenon of rotting
helicidae, land snails including the common edible snail and some pests
interrelationship, mutual or reciprocal relation or relatedness; "interrelationships of animal structure and function"
regularize, make regular or more regular; "regularize the heart beat with a pace maker"
clean out, force out; "The new boss cleaned out the lazy workers"
sulidae, gannets and boobies
peaceful, not disturbed by strife or turmoil or war; "a peaceful nation"; "peaceful times"; "a far from peaceful Christmas"; "peaceful sleep"
limiter, (electronics) a nonlinear electronic circuit whose output is limited in amplitude; used to limit the instantaneous amplitude of a waveform (to clip off the peaks of a waveform); "a limiter introduces amplitude distortion"
kaw river, a river in northeastern Kansas; flows eastward to become a tributary of the Missouri River
smoking, a hot vapor containing fine particles of carbon being produced by combustion; "the fire produced a tower of black smoke that could be seen for miles"
pakchoi, Asiatic plant grown for its cluster of edible white stalks with dark green leaves
repository, a burial vault (usually for some famous person)
drive up, approach while driving; "The truck entered the driveway and drove up towards the house"
glucose, a monosaccharide sugar that has several forms; an important source of physiological energy
genus andira, small genus of evergreen trees of tropical America and western Africa
duplication, a copy that corresponds to an original exactly; "he made a duplicate for the files"
sharpener, any implement that is used to make something (an edge or a point) sharper; "a knife sharpener"
counter, (computer science) a register whose contents go through a regular series of states (usually states indicating consecutive integers)
indicator, a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time
ask for trouble, persist with actions or an attitude despite the probability that it will cause trouble; "He is asking for trouble with his behavior"
lake, a body of (usually fresh) water surrounded by land
stress, the relative prominence of a syllable or musical note (especially with regard to stress or pitch); "he put the stress on the wrong syllable"
saturniid moth, large brightly colored and usually tropical moth; larvae spin silken cocoons
distress, cause mental pain to; "The news of her child's illness distressed the mother"
order ciconiiformes, order of chiefly tropical marsh-dwelling fish-eating wading birds with long legs and bills and (except for flamingos) unwebbed feet: herons; storks; spoonbills; flamingos; ibises
urban v, French pope from 1362 to 1370 who tried to reestablish the papacy in Rome but in 1367 returned to Avignon hoping to end the war between France and England; canonized in 1870 (1310-1370)
pastoral, a literary work idealizing the rural life (especially the life of shepherds)
rachycentron, genus and family are coextensive and comprise only the cobia
woodworking, the craft of a carpenter: making things out of wood
vandalism, willful wanton and malicious destruction of the property of others
silt up, become chocked with silt; "The river silted up"
north platte river, a river that rises in northern Colorado and flows northward into Wyoming and then eastward and southeastward through Nebraska where it joins the South Platte to form the Platte River
stringed instrument, a musical instrument in which taut strings provide the source of sound
smyrnium, Alexanders
rupicola, cock of the rocks
show-off, someone who deliberately behaves in such a way as to attract attention
belgian shepherd, hardy working dog developed in Belgium for herding sheep
tilletia, a genus of fungi belonging to the family Tilletiaceae
cashew tree, tropical American evergreen tree bearing kidney-shaped nuts that are edible only when roasted
lactophrys, a genus of Ostraciidae
family bramidae, deep-bodied percoid fishes of the open seas
pinon nut, edible seed of any of several nut pines especially some pinons of southwestern North America
chancellorship, the office of chancellor
canna, any plant of the genus Canna having large sheathing leaves and clusters of large showy flowers
article, bind by a contract; especially for a training period
stunt woman, a stand-in for movie stars to perform dangerous stunts; "his first job in Hollywood was as a double for Clark Gable"
disjoint, make disjoint, separated, or disconnected; undo the joining of
deck, street name for a packet of illegal drugs
written report, a written document describing the findings of some individual or group; "this accords with the recent study by Hill and Dale"
life, the period from the present until death; "he appointed himself emperor for life"
transpiration, the passage of gases through fine tubes because of differences in pressure or temperature
sectral, an oral beta blocker (trade name Sectral) used in treating hypertension
dysphoria, abnormal depression and discontent
slider, a fastball that curves slightly away from the side from which it was thrown
boot, kick; give a boot to
commonwealth of nations, an association of nations consisting of the United Kingdom and several former British colonies that are now sovereign states but still pay allegiance to the British Crown
lordliness, formality in bearing and appearance; "he behaved with great dignity"
modality, a method of therapy that involves physical or electrical therapeutic treatment
dress, provide with decoration; "dress the windows"
nihilism, complete denial of all established authority and institutions
verbascum, genus of coarse herbs and subshrubs mostly with woolly leaves
fulfilment, the act of consummating something (a desire or promise etc)
sarcosporidia, imperfectly known parasites of the muscles of vertebrates
indian, a native or inhabitant of India
cast iron, an alloy of iron containing so much carbon that it is brittle and so cannot be wrought but must be shaped by casting
direct, be in charge of
complex, complicated in structure; consisting of interconnected parts; "a complex set of variations based on a simple folk melody"; "a complex mass of diverse laws and customs"
tetrachloroethylene, anthelmintic agent used against hookworm and other nematodes
qizil qum, a desert in Uzbekistan to the southeast of the Aral Sea
rhamnales, an order of dicotyledonous plants
inducing, act of bringing about a desired result; "inducement of sleep"
lactobacteriaceae, lactic acid bacteria and important pathogens; bacteria that ferment carbohydrates chiefly into lactic acid
oil nut, oily drupaceous fruit of rabbitwood
weight unit, a unit used to measure weight; "he placed two weights in the scale pan"
genus exacum, genus of tropical Asiatic and African plants: especially Persian violets
hawk, diurnal bird of prey typically having short rounded wings and a long tail
clatter, make a rattling sound; "clattering dishes"
consist, be consistent in form, tenor, or character; be congruous; "Desires are to be satisfied only so far as consists with an approved end"
tear down, tear down so as to make flat with the ground; "The building was levelled"
durban, a port city in eastern South Africa on the Indian Ocean; resort and industrial center
rest, be at rest
wetting agent, a chemical agent capable of reducing the surface tension of a liquid in which it is dissolved
sense, a general conscious awareness; "a sense of security"; "a sense of happiness"; "a sense of danger"; "a sense of self"
genova, a seaport in northwestern Italy; provincial capital of Liguria
playback, electronic equipment comprising the part of a tape recorder that reproduces the recorded material
genus anthemis, dog fennel
snake dance, a ceremonial dance (as by the Hopi) in which snakes are handled or invoked
harm, cause or do harm to; "These pills won't harm your system"
neck bone, one of 7 vertebrae in the human spine located in the neck region
unsubdivided, (botany) of leaf shapes; of leaves having no divisions or subdivisions
scientific agriculture, the application of soil and plant sciences to land management and crop production
sea kale, perennial of coastal sands and shingles of northern Europe and Baltic and Black Seas having racemes of small white flowers and large fleshy blue-green leaves often used as potherbs
ceratonia siliqua, evergreen Mediterranean tree with edible pods; the biblical carob
painted greenling, greenling with whitish body marked with black bands
womanhood, women as a class; "it's an insult to American womanhood"; "woman is the glory of creation"; "the fair sex gathered on the veranda"
star, a plane figure with 5 or more points; often used as an emblem
unimportant, devoid of importance, meaning, or force
strabismus, abnormal alignment of one or both eyes
primulaceae, a dicotyledonous family of the order Primulales with a regular flower; widely distributed in the northern hemisphere
manhattan, a cocktail made with whiskey and sweet vermouth with a dash of bitters
look, be oriented in a certain direction, often with respect to another reference point; be opposite to; "The house looks north"; "My backyard look onto the pond"; "The building faces the park"
bovine, any of various members of the genus Bos
coexist, exist together
parasitaxus, one species: parasite yew
